,spotify_id,artist_id,track_name,album_name,artist_name,date,duration,pop,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,is_latin,artist_latin_status
57,2iLGgm4O5Hia8aSfSzXS3H,6VuMaDnrHyPL1p4EHjYLi7,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Charlie Puth,2018-01-04,242161,0,pop,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
58,2iLGgm4O5Hia8aSfSzXS3H,6VuMaDnrHyPL1p4EHjYLi7,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Charlie Puth,2018-01-04,242161,0,viral pop,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
59,2iLGgm4O5Hia8aSfSzXS3H,6VuMaDnrHyPL1p4EHjYLi7,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Charlie Puth,2018-01-04,242161,0,boy band,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
60,2iLGgm4O5Hia8aSfSzXS3H,6VuMaDnrHyPL1p4EHjYLi7,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Charlie Puth,2018-01-04,242161,0,contemporary r&b,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
61,2iLGgm4O5Hia8aSfSzXS3H,6VuMaDnrHyPL1p4EHjYLi7,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Charlie Puth,2018-01-04,242161,0,new jack swing,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
62,2iLGgm4O5Hia8aSfSzXS3H,6VuMaDnrHyPL1p4EHjYLi7,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Charlie Puth,2018-01-04,242161,0,r&b,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
63,2iLGgm4O5Hia8aSfSzXS3H,6VuMaDnrHyPL1p4EHjYLi7,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Charlie Puth,2018-01-04,242161,0,urban contemporary,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
64,2iLGgm4O5Hia8aSfSzXS3H,6O74knDqdv3XaWtkII7Xjp,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Boyz II Men,2018-01-04,242161,0,pop,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
65,2iLGgm4O5Hia8aSfSzXS3H,6O74knDqdv3XaWtkII7Xjp,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Boyz II Men,2018-01-04,242161,0,viral pop,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
66,2iLGgm4O5Hia8aSfSzXS3H,6O74knDqdv3XaWtkII7Xjp,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Boyz II Men,2018-01-04,242161,0,boy band,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
67,2iLGgm4O5Hia8aSfSzXS3H,6O74knDqdv3XaWtkII7Xjp,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Boyz II Men,2018-01-04,242161,0,contemporary r&b,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
68,2iLGgm4O5Hia8aSfSzXS3H,6O74knDqdv3XaWtkII7Xjp,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Boyz II Men,2018-01-04,242161,0,new jack swing,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
69,2iLGgm4O5Hia8aSfSzXS3H,6O74knDqdv3XaWtkII7Xjp,If You Leave Me Now (feat. Boyz II Men),If You Leave Me Now (feat. Boyz II Men),Boyz II Men,2018-01-04,242161,0,r&b,0.435,0.274,9,-7.84,0.0358,0.902,0.0,0.158,0.422,136.123,2018,nonlatin,nonlatin
