,artist_id,artist_name,genres
148,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator","hip hop,rap"
149,20sxb77xiYeusSH8cVdatc,Meek Mill,"hip hop,philly rap,pop rap,rap,southern hip hop,trap"
150,3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,pop soul
151,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,pop
152,1sBkRIssrMs1AbVkOJbc7a,Rick Ross,"dirty south rap,gangster rap,hip hop,rap,southern hip hop,trap"
153,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,"melodic rap,rap,trap"
154,50co4Is1HCEo8bhOyUWKpn,Young Thug,"atl hip hop,atl trap,gangster rap,melodic rap,rap,trap"
155,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,"florida drill,florida rap,melodic rap,miami hip hop,rap,trap,trap latino"
156,3WGpXCj9YhhfX11TToZcXP,Troye Sivan,"australian pop,pop,viral pop"
157,3Nrfpe0tUJi4K4DXYWgMUX,BTS,"k-pop,k-pop boy group,pop"
158,0xRXCcSX89eobfrshSVdyu,MEDUZA,"edm,pop dance,pop house,uk dance"
159,2nm38smINjms1LtczR0Cei,Goodboys,"pop dance,uk dance"
160,4ofCBoyEiGSePFAG500xev,Regard,"pop dance,pop edm,slap house,uk dance"
161,0YinUQ50QDB7ZxSCLyQ40k,Mustard,"cali rap,pop rap,rap,southern hip hop,trap"
162,4r63FhuTkUYltbVAg5TQnk,DaBaby,"hip hop,north carolina hip hop,pop rap,rap,trap"
163,5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,"alt z,pop,pov: indie"
164,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,"art pop,pop"
165,6nS5roXSAGhTGr34W6n7Et,Disclosure,"edm,house,indietronica,uk dance"
166,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,"pop,singer-songwriter pop,uk pop"
167,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"dance pop,pop"
168,5pDjmC5mRl7vDJhsjVwNfk,Freya Ridings,uk pop
169,6cK3NBO6uP7hh0oyuVELFl,Saweetie,"cali rap,trap queen"
170,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,"boy band,pop"
171,7k9T7lZlHjRAM1bb0r9Rm3,Wiley,"grime,uk dancehall,uk hip hop"
172,2ExGrw6XpbtUAJHTLtUXUD,Stefflon Don,"dancehall,dancehall queen,uk dancehall,uk hip hop"
173,3Isy6kedDrgPYoTS1dazA9,Sean Paul,"dance pop,dancehall,pop,pop rap"
174,0Dc2rdPzleezxhvQhQbXuS,Idris Elba,uk tech house
175,6jJ0s89eD6GaHleKKya26X,Katy Perry,pop
176,4NZvixzsSefsNiIqXn0NDe,Maggie Rogers,indie pop
177,6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,"alternative pop rock,pov: indie"
178,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,"k-pop,k-pop girl group,pop"
179,4f9iBmdUOhQWeP7dcAn1pf,Rag'n'Bone Man,neo soul
180,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,pop
181,1dfeR4HaWDbWqFHLkxsg1d,Queen,"classic rock,glam rock,rock"
182,23fqKkggKUBHNkbKtXEls4,Kygo,"edm,pop,pop dance,tropical house"
183,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,pop
184,6ASri4ePR7RlsvIQgWPJpS,iann dior,melodic rap
185,1MIVXf74SZHmTIp4V4paH4,Mabel,"pop,uk pop"
186,1vCWHaC5f2uS3yhpwWbIA6,Avicii,"dance pop,edm,pop,pop dance"
187,0id62QV2SZZfvBn9xpmuCl,Aloe Blacc,"pop soul,r&b"
188,56oDRnqbIiwx4mymNEv7dS,Lizzo,"escape room,minnesota hip hop,pop,trap queen"
189,1bj5GrcLom5gZFF5t949Xl,Martin Solveig,"disco house,edm,electro house,filter house,house,pop dance,vocal house"
190,2kRfqPViCqYdSGhYSM9R0Q,Madison Beer,pop
191,2NlKrNMdpYxGjt3Pvw87rC,Europa,uk dance
192,31Ua7zSTJxegjyd49ujbSA,NSG,"afrobeats,afroswing,uk dancehall,uk hip hop"
193,7b79bQFziJFedJb75k6hFt,Tion Wayne,"london rap,uk hip hop"
194,181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,"houston rap,pop,r&b,rap,trap queen"
195,2NjfBq1NflQcKSeiDooVjY,Tones And I,australian pop
196,3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,"black americana,contemporary country,country,country road"
197,6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,"melodic rap,rap,trap"
198,6bmlMHgSheBauioMgKv2tn,Powfu,"sad lo-fi,sad rap"
199,35l9BRT7MXmM8bv2WDQiyB,beabadoobee,"bedroom pop,bubblegrunge,indie pop,pov: indie"
200,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,"melodic rap,rap,trap"
201,5zctI4wO9XSKS8XwcnqEHk,Lil Mosey,"melodic rap,rap conscient"
202,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,"brooklyn drill,rap"
203,6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop
204,0vRvGUQVUjytro0xpb26bs,Arizona Zervas,"indie pop rap,pop rap,rhode island rap"
205,1XLWox9w1Yvbodui0SRhUQ,StaySolidRocky,melodic rap
206,7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,melodic rap
207,66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,"alt z,canadian contemporary r&b,singer-songwriter pop"
208,6nVcHLIgY5pE2YCl8ubca1,Jhayco,"reggaeton,trap latino,urbano latino"
